Format Version,1.23,Take Name,Soap_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 12.18.25.921 PM,Capture Start Frame,529838,Total Frames in Take,3110,Total Exported Frames,3110,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062
,ID,"C4D20","C4D20","C4D20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
282,2.350000,0.080569,0.402289,-0.567665
283,2.358333,0.079971,0.399444,-0.562052
284,2.366667,0.079041,0.397013,-0.556132
285,2.375000,0.078084,0.394469,-0.550006
286,2.383333,0.077052,0.391831,-0.543945
287,2.391667,0.076138,0.389091,-0.537586
288,2.400000,0.075540,0.386889,-0.532272
289,2.408333,0.076114,0.386549,-0.529922
290,2.416667,0.076242,0.386565,-0.528222
291,2.425000,0.076587,0.385966,-0.527756
292,2.433333,0.076672,0.385830,-0.527847
293,2.441667,0.076376,0.385870,-0.528880
294,2.450000,0.075841,0.385795,-0.530068
295,2.458333,0.075535,0.386134,-0.530940
296,2.466667,0.075549,0.386681,-0.531381
297,2.475000,0.075408,0.386971,-0.531543
298,2.483333,0.075770,0.386580,-0.531507
299,2.491667,0.075950,0.386432,-0.531316
300,2.500000,0.076139,0.386328,-0.530985
301,2.508333,0.076526,0.385834,-0.530363
302,2.516667,0.077059,0.385537,-0.529925
303,2.525000,0.077284,0.385477,-0.529831
304,2.533333,0.077464,0.385492,-0.530027
305,2.541667,0.077742,0.385448,-0.530129
306,2.550000,0.077907,0.385518,-0.530195
307,2.558333,0.077909,0.385512,-0.530202
308,2.566667,0.077887,0.385511,-0.530200
309,2.575000,0.077890,0.385507,-0.530199
310,2.583333,0.077882,0.385503,-0.530202
311,2.591667,0.077893,0.385507,-0.530200
312,2.600000,0.077895,0.385512,-0.530199
313,2.608333,0.077879,0.385514,-0.530195
314,2.616667,0.077888,0.385506,-0.530198
315,2.625000,0.077886,0.385511,-0.530194
316,2.633333,0.077888,0.385501,-0.530205
317,2.641667,0.077878,0.385517,-0.530189
318,2.650000,0.077891,0.385506,-0.530202
319,2.658333,0.077887,0.385513,-0.530197
320,2.666667,0.077887,0.385510,-0.530197
321,2.675000,0.077890,0.385502,-0.530199
322,2.683333,0.077884,0.385509,-0.530195
323,2.691667,0.077894,0.385501,-0.530198
324,2.700000,0.077889,0.385507,-0.530199
325,2.708333,0.077891,0.385503,-0.530205
326,2.716667,0.077890,0.385504,-0.530200
327,2.725000,0.077887,0.385511,-0.530198
328,2.733333,0.077885,0.385513,-0.530195
329,2.741667,0.077883,0.385510,-0.530195
330,2.750000,0.077894,0.385500,-0.530203
331,2.758333,0.077892,0.385506,-0.530198
332,2.766667,0.077888,0.385513,-0.530201
333,2.775000,0.077889,0.385510,-0.530198
334,2.783333,0.077887,0.385507,-0.530199
335,2.791667,0.077891,0.385500,-0.530200
336,2.800000,0.077887,0.385511,-0.530197
337,2.808333,0.077884,0.385510,-0.530196
338,2.816667,0.077890,0.385502,-0.530197
339,2.825000,0.077892,0.385509,-0.530197
340,2.833333,0.077890,0.385509,-0.530202
341,2.841667,0.077888,0.385509,-0.530200
342,2.850000,0.077889,0.385500,-0.530199
343,2.858333,0.077888,0.385505,-0.530196
344,2.866667,0.077889,0.385505,-0.530199
345,2.875000,0.077885,0.385511,-0.530196
346,2.883333,0.077889,0.385506,-0.530201
347,2.891667,0.077892,0.385505,-0.530200
348,2.900000,0.077891,0.385505,-0.530202
349,2.908333,0.077888,0.385509,-0.530197
350,2.916667,0.077893,0.385503,-0.530198
351,2.925000,0.077888,0.385504,-0.530196
352,2.933333,0.077875,0.385508,-0.530204
353,2.941667,0.077875,0.385511,-0.530201
354,2.950000,0.077872,0.385513,-0.530194
355,2.958333,0.077863,0.385519,-0.530168
356,2.966667,0.077851,0.385519,-0.530171
357,2.975000,0.077829,0.385523,-0.530194
358,2.983333,0.077841,0.385517,-0.530187
359,2.991667,0.077848,0.385514,-0.530198
360,3.000000,0.077857,0.385506,-0.530195
361,3.008333,0.077859,0.385505,-0.530199
362,3.016667,0.077861,0.385499,-0.530196
363,3.025000,0.077850,0.385516,-0.530192
364,3.033333,0.077860,0.385509,-0.530195
365,3.041667,0.077846,0.385510,-0.530198
366,3.050000,0.077851,0.385516,-0.530195
367,3.058333,0.077853,0.385514,-0.530198
368,3.066667,0.077853,0.385512,-0.530192
369,3.075000,0.077850,0.385511,-0.530198
370,3.083333,0.077851,0.385512,-0.530193
371,3.091667,0.077835,0.385518,-0.530189
372,3.100000,0.077840,0.385514,-0.530194
373,3.108333,0.077846,0.385506,-0.530195
374,3.116667,0.077843,0.385517,-0.530192
375,3.125000,0.077854,0.385501,-0.530194
376,3.133333,0.077845,0.385509,-0.530192
377,3.141667,0.077843,0.385513,-0.530194
378,3.150000,0.077845,0.385515,-0.530187
379,3.158333,0.077846,0.385515,-0.530193
380,3.166667,0.077846,0.385508,-0.530192
381,3.175000,0.077846,0.385512,-0.530189
382,3.183333,0.077857,0.385512,-0.530195
383,3.191667,0.077850,0.385513,-0.530196
384,3.200000,0.077843,0.385518,-0.530192
385,3.208333,0.077847,0.385521,-0.530190
386,3.216667,0.077847,0.385520,-0.530189
387,3.225000,0.077838,0.385518,-0.530190
388,3.233333,0.077825,0.385522,-0.530183
389,3.241667,0.077832,0.385512,-0.530185
390,3.250000,0.077836,0.385515,-0.530179
391,3.258333,0.077835,0.385526,-0.530175
392,3.266667,0.077831,0.385520,-0.530179
393,3.275000,0.077840,0.385510,-0.530182
394,3.283333,0.077837,0.385520,-0.530173
395,3.291667,0.077841,0.385517,-0.530183
396,3.300000,0.077846,0.385516,-0.530186
397,3.308333,0.077838,0.385516,-0.530187
398,3.316667,0.077823,0.385524,-0.530181
399,3.325000,0.077787,0.385537,-0.530182
400,3.333333,0.077703,0.385566,-0.530175
401,3.341667,0.077550,0.385567,-0.530158
402,3.350000,0.077418,0.385576,-0.530112
403,3.358333,0.077299,0.385578,-0.530077
404,3.366667,0.077154,0.385616,-0.530089
405,3.375000,0.076936,0.385598,-0.530116
406,3.383333,0.076535,0.385775,-0.530149
407,3.391667,0.076107,0.385782,-0.530123
408,3.400000,0.075429,0.385942,-0.530192
409,3.408333,0.074356,0.386153,-0.530351
410,3.416667,0.073051,0.386332,-0.530557
411,3.425000,0.071527,0.386668,-0.531030
412,3.433333,0.069900,0.386957,-0.531333
413,3.441667,0.068854,0.387590,-0.532200
414,3.450000,0.068138,0.388399,-0.533200
415,3.458333,0.067861,0.389038,-0.534600
416,3.466667,0.067044,0.389649,-0.536466
417,3.475000,0.065975,0.390374,-0.538388
418,3.483333,0.064884,0.391094,-0.540584
419,3.491667,0.063728,0.392369,-0.542296
420,3.500000,0.062747,0.393294,-0.543965
421,3.508333,0.062105,0.393791,-0.545787
422,3.516667,0.061135,0.394556,-0.547416
423,3.525000,0.060243,0.395233,-0.548970
424,3.533333,0.059207,0.396163,-0.550169
425,3.541667,0.058331,0.396574,-0.551395
426,3.550000,0.057510,0.397084,-0.552489
427,3.558333,0.056633,0.397606,-0.553537
428,3.566667,0.055921,0.398097,-0.554498
429,3.575000,0.055428,0.398526,-0.555399
430,3.583333,0.055135,0.398787,-0.556456
431,3.591667,0.054665,0.399408,-0.557405
432,3.600000,0.054431,0.399971,-0.558553
433,3.608333,0.054331,0.400630,-0.559770
434,3.616667,0.054096,0.401570,-0.561029
435,3.625000,0.054171,0.402240,-0.562696
436,3.633333,0.054388,0.402929,-0.564808
437,3.641667,0.054582,0.403742,-0.566742
438,3.650000,0.054657,0.404961,-0.568670
439,3.658333,0.054876,0.405672,-0.570944
440,3.666667,0.054815,0.407155,-0.572991
441,3.675000,0.055009,0.408023,-0.575261
442,3.683333,0.055080,0.409143,-0.577275
443,3.691667,0.055268,0.410018,-0.579561
444,3.700000,0.055185,0.411199,-0.581539
445,3.708333,0.055186,0.412311,-0.583748
446,3.716667,0.055305,0.413285,-0.585832
447,3.725000,0.055450,0.414284,-0.588074
448,3.733333,0.055573,0.415231,-0.590225
449,3.741667,0.055404,0.416541,-0.592233
450,3.750000,0.055521,0.417479,-0.594473
451,3.758333,0.055583,0.418473,-0.596987
452,3.766667,0.055610,0.419472,-0.599224
453,3.775000,0.055451,0.421015,-0.601487
454,3.783333,0.055483,0.422187,-0.604292
455,3.791667,0.055450,0.423420,-0.607048
456,3.800000,0.055216,0.424931,-0.609948
457,3.808333,0.055350,0.426132,-0.612784
458,3.816667,0.055137,0.427851,-0.615793
459,3.825000,0.055156,0.429045,-0.619141
460,3.833333,0.054815,0.430833,-0.622050
461,3.841667,0.054765,0.432232,-0.625221
462,3.850000,0.054811,0.433564,-0.628271
463,3.858333,0.054444,0.435331,-0.631176
464,3.866667,0.054625,0.436382,-0.634359
465,3.875000,0.054459,0.437917,-0.637191
466,3.883333,0.054447,0.439454,-0.639875
467,3.891667,0.054488,0.440680,-0.642739
468,3.900000,0.054455,0.442129,-0.645422
469,3.908333,0.054535,0.443439,-0.648144
470,3.916667,0.054535,0.444528,-0.650653
471,3.925000,0.054650,0.445806,-0.653279
472,3.933333,0.054497,0.447398,-0.655687
473,3.941667,0.054600,0.448359,-0.658462
474,3.950000,0.054667,0.449582,-0.661152
475,3.958333,0.054528,0.451310,-0.663720
476,3.966667,0.054553,0.452533,-0.666604
477,3.975000,0.054670,0.453895,-0.669441
478,3.983333,0.054619,0.455341,-0.672314
479,3.991667,0.054605,0.456620,-0.675330
480,4.000000,0.054718,0.458074,-0.678360
481,4.008333,0.054667,0.459637,-0.681199
482,4.016667,0.054685,0.461136,-0.684138
483,4.025000,0.054708,0.462417,-0.687134
484,4.033333,0.054608,0.463972,-0.689962
485,4.041667,0.054580,0.465338,-0.692724
486,4.050000,0.054674,0.466380,-0.695519
487,4.058333,0.054478,0.467936,-0.697877
488,4.066667,0.054438,0.469053,-0.700535
489,4.075000,0.054570,0.470098,-0.703106
490,4.083333,0.054479,0.471583,-0.705270
491,4.091667,0.054625,0.472495,-0.707806
492,4.100000,0.054710,0.473783,-0.709968
493,4.108333,0.054931,0.474880,-0.712098
494,4.116667,0.055177,0.475866,-0.714211
495,4.125000,0.055497,0.476791,-0.716527
496,4.133333,0.055702,0.477858,-0.718594
497,4.141667,0.055895,0.478932,-0.720553
498,4.150000,0.055904,0.479941,-0.722496
499,4.158333,0.056038,0.480919,-0.724374
500,4.166667,0.056067,0.481840,-0.726335
501,4.175000,0.056185,0.482843,-0.728221
502,4.183333,0.056322,0.483693,-0.730217
503,4.191667,0.056455,0.484682,-0.732132
504,4.200000,0.056476,0.485610,-0.734074
505,4.208333,0.056493,0.486840,-0.736049
506,4.216667,0.056704,0.487710,-0.738349
507,4.225000,0.056802,0.488713,-0.740530
508,4.233333,0.056897,0.489963,-0.742653
509,4.241667,0.056898,0.491096,-0.745018
510,4.250000,0.056843,0.492288,-0.747243
511,4.258333,0.056958,0.493336,-0.749651
512,4.266667,0.056990,0.494393,-0.751874
513,4.275000,0.057087,0.495465,-0.754115
514,4.283333,0.056956,0.496755,-0.756272
515,4.291667,0.056938,0.497836,-0.758488
516,4.300000,0.057012,0.498796,-0.760915
517,4.308333,0.056874,0.500054,-0.762988
518,4.316667,0.056960,0.501262,-0.765000
519,4.325000,0.057816,0.502254,-0.767503
520,4.333333,0.058369,0.503129,-0.769460
521,4.341667,0.058916,0.503714,-0.771100
522,4.350000,0.058158,0.505062,-0.773014
523,4.358333,0.058387,0.505512,-0.774510
524,4.366667,0.058778,0.506478,-0.776010
525,4.375000,0.059020,0.507413,-0.777592
526,4.383333,0.058804,0.508616,-0.779268
527,4.391667,0.059241,0.509152,-0.780297
528,4.400000,0.059287,0.510002,-0.781414
529,4.408333,0.059450,0.510857,-0.782482
530,4.416667,0.059021,0.512193,-0.783497
531,4.425000,0.058999,0.512932,-0.784270
532,4.433333,0.059053,0.513528,-0.784872
533,4.441667,0.059180,0.514059,-0.785397
534,4.450000,0.059167,0.514559,-0.785683
535,4.458333,0.059462,0.514514,-0.785774
536,4.466667,0.059120,0.515402,-0.786050
537,4.475000,0.059167,0.515681,-0.786124
538,4.483333,0.059156,0.515976,-0.786082
539,4.491667,0.059105,0.516190,-0.785886
540,4.500000,0.059075,0.516349,-0.785708
541,4.508333,0.059034,0.516479,-0.785510
542,4.516667,0.058961,0.516572,-0.785290
543,4.525000,0.058919,0.516676,-0.785029
544,4.533333,0.058889,0.516746,-0.784909
545,4.541667,0.058878,0.516823,-0.784852
546,4.550000,0.058893,0.516871,-0.784893
547,4.558333,0.058845,0.517111,-0.784923
548,4.566667,0.058884,0.517054,-0.785243
549,4.575000,0.058939,0.517098,-0.785515
550,4.583333,0.058965,0.517289,-0.785794
551,4.591667,0.059023,0.517276,-0.786182
552,4.600000,0.059041,0.517431,-0.786481
