Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
404,3.366667,0.045415,0.453671,-0.669912
405,3.375000,0.045185,0.454942,-0.672315
406,3.383333,0.045339,0.456095,-0.674804
407,3.391667,0.045455,0.457429,-0.677498
408,3.400000,0.045690,0.458718,-0.680147
409,3.408333,0.045977,0.459808,-0.682766
410,3.416667,0.046125,0.461231,-0.685236
411,3.425000,0.046418,0.462594,-0.687618
412,3.433333,0.046727,0.463715,-0.690168
413,3.441667,0.046891,0.465010,-0.692628
414,3.450000,0.047007,0.466090,-0.695132
415,3.458333,0.047133,0.467241,-0.697579
416,3.466667,0.047021,0.468610,-0.699858
417,3.475000,0.046966,0.469708,-0.702192
418,3.483333,0.047073,0.470810,-0.704630
419,3.491667,0.047263,0.471910,-0.707031
420,3.500000,0.047345,0.473281,-0.709472
421,3.508333,0.047671,0.474548,-0.711933
422,3.516667,0.048088,0.475747,-0.714405
423,3.525000,0.048419,0.477001,-0.716909
424,3.533333,0.048728,0.478242,-0.719276
425,3.541667,0.049122,0.479418,-0.721773
426,3.550000,0.049434,0.480484,-0.724061
427,3.558333,0.049863,0.481662,-0.726430
428,3.566667,0.050198,0.482807,-0.728709
429,3.575000,0.050526,0.484024,-0.730966
430,3.583333,0.050870,0.485076,-0.733311
431,3.591667,0.051167,0.486200,-0.735468
432,3.600000,0.051474,0.487282,-0.737608
433,3.608333,0.051747,0.488309,-0.739751
434,3.616667,0.051987,0.489289,-0.741899
435,3.625000,0.052184,0.490259,-0.744003
436,3.633333,0.052092,0.491460,-0.745921
437,3.641667,0.052390,0.492461,-0.747833
438,3.650000,0.052751,0.493368,-0.749671
439,3.658333,0.053021,0.494288,-0.751478
440,3.666667,0.053417,0.495138,-0.753277
441,3.675000,0.054148,0.495933,-0.755123
442,3.683333,0.054673,0.496817,-0.756812
443,3.691667,0.055296,0.497721,-0.758424
444,3.700000,0.055914,0.498658,-0.760152
445,3.708333,0.056264,0.499468,-0.761824
446,3.716667,0.056667,0.500369,-0.763534
447,3.725000,0.057686,0.501110,-0.765395
448,3.733333,0.058328,0.501965,-0.767014
449,3.741667,0.058675,0.502759,-0.768700
450,3.750000,0.058676,0.503444,-0.770463
451,3.758333,0.058340,0.504579,-0.772114
452,3.766667,0.058788,0.505316,-0.773867
453,3.775000,0.059337,0.506167,-0.775501
454,3.783333,0.059464,0.506979,-0.777150
455,3.791667,0.059509,0.508013,-0.778712
456,3.800000,0.060005,0.508694,-0.780400
457,3.808333,0.060749,0.509300,-0.781737
458,3.816667,0.060632,0.510494,-0.783513
459,3.825000,0.061313,0.511101,-0.784830
460,3.833333,0.061239,0.512419,-0.786525
461,3.841667,0.061991,0.513037,-0.787858
462,3.850000,0.061857,0.514503,-0.789560
463,3.858333,0.062241,0.515523,-0.791077
464,3.866667,0.062542,0.516414,-0.792701
465,3.875000,0.062845,0.517332,-0.794299
466,3.883333,0.063568,0.517863,-0.795650
467,3.891667,0.063477,0.518952,-0.797436
468,3.900000,0.064233,0.519423,-0.798820
469,3.908333,0.064155,0.520519,-0.800499
470,3.916667,0.065000,0.520818,-0.801752
471,3.925000,0.064854,0.521806,-0.803224
472,3.933333,0.065523,0.521944,-0.804204
473,3.941667,0.065760,0.522554,-0.805229
474,3.950000,0.066064,0.522846,-0.806111
475,3.958333,0.066256,0.523374,-0.806799
476,3.966667,0.066102,0.523888,-0.807592
477,3.975000,0.066317,0.524142,-0.807994
478,3.983333,0.066921,0.523868,-0.808049
479,3.991667,0.067160,0.523798,-0.808174
480,4.000000,0.067203,0.523799,-0.808108
481,4.008333,0.067199,0.523796,-0.807926
482,4.016667,0.067131,0.523792,-0.807685
483,4.025000,0.067150,0.523578,-0.807515
484,4.033333,0.067066,0.523537,-0.807328
485,4.041667,0.066332,0.523947,-0.807266
486,4.050000,0.066217,0.523843,-0.807091
487,4.058333,0.066103,0.523725,-0.806937
488,4.066667,0.066495,0.523077,-0.806661
489,4.075000,0.066390,0.522836,-0.806536
490,4.083333,0.065874,0.522872,-0.806571
491,4.091667,0.066167,0.522390,-0.806078
492,4.100000,0.066073,0.522285,-0.805771
493,4.108333,0.065973,0.522134,-0.805508
494,4.116667,0.065958,0.521866,-0.805259
495,4.125000,0.065914,0.521538,-0.804991
